name,p0_nominal,s_nom_ieee738_mva,loading_pct,severity
L20,62.562275466850174,50.421903219324086,124.07757635549409,CRITICAL (≥90%)
L22,62.562275466850174,50.421903219324086,124.07757635549409,CRITICAL (≥90%)
L21,62.562275466850174,50.421903219324086,124.07757635549409,CRITICAL (≥90%)
L70,33.366553044153946,37.870677151963584,88.10656569531105,CAUTION (60–90%)
L32,33.18072699761594,37.870677151963584,87.6158798652364,CAUTION (60–90%)
L31,33.18072699761594,37.870677151963584,87.6158798652364,CAUTION (60–90%)
L72,32.41829572561396,37.870677151963584,85.60263022371934,CAUTION (60–90%)
L30,37.984554516516816,50.421903219324086,75.3334406107053,CAUTION (60–90%)
L49,77.53275328917061,105.903924980604,73.21046250492653,CAUTION (60–90%)
L48,77.53275328917061,105.903924980604,73.21046250492653,CAUTION (60–90%)
L51,77.53275328917061,105.903924980604,73.21046250492653,CAUTION (60–90%)
L50,77.53275328917061,105.903924980604,73.21046250492653,CAUTION (60–90%)
L39,35.56755789530767,50.421903219324086,70.53989560964546,CAUTION (60–90%)
L38,35.56755789530767,50.421903219324086,70.53989560964546,CAUTION (60–90%)
L67,53.65000000039047,77.66383787383356,69.07976925830779,CAUTION (60–90%)
L18,34.24357222290703,50.421903219324086,67.91408105710546,CAUTION (60–90%)
L17,34.24357222290703,50.421903219324086,67.91408105710546,CAUTION (60–90%)
L25,68.36277483934091,100.84380643864817,67.79075210824354,CAUTION (60–90%)
L46,29.91863593956318,49.45020017423455,60.5025577937942,CAUTION (60–90%)
L36,24.721468220118723,44.00135440428479,56.18342561226111,NOMINAL (<60%)
L35,24.721468220118723,44.00135440428479,56.18342561226111,NOMINAL (<60%)
L34,24.721468220118723,44.00135440428479,56.18342561226111,NOMINAL (<60%)
L73,23.084460430004867,44.00135440428479,52.46306788173987,NOMINAL (<60%)
L28,22.779066860376822,44.00135440428479,51.76901295147095,NOMINAL (<60%)
L27,22.779066860376822,44.00135440428479,51.76901295147095,NOMINAL (<60%)
L29,22.779066860376822,44.00135440428479,51.76901295147095,NOMINAL (<60%)
L54,25.387605174656947,49.45020017423455,51.33974197314748,NOMINAL (<60%)
L10,39.31152063151065,77.66383787383356,50.617535403507866,NOMINAL (<60%)
L7,37.115631985604615,77.66383787383356,47.790107985520486,NOMINAL (<60%)
L68,36.55672347808476,77.66383787383356,47.07045708643949,NOMINAL (<60%)
L69,36.55672347808476,77.66383787383356,47.07045708643949,NOMINAL (<60%)
L26,47.41903156561382,100.84380643864817,47.02225475241539,NOMINAL (<60%)
L53,36.157876671810165,77.66383787383356,46.55690172117086,NOMINAL (<60%)
L8,45.596813320191096,101.75198445368959,44.811718970398644,NOMINAL (<60%)
L9,45.596813320191096,101.75198445368959,44.811718970398644,NOMINAL (<60%)
L19,41.373297559306494,101.75198445368959,40.660924483626886,NOMINAL (<60%)
L5,61.55373323091081,155.63060354257473,39.55117555916437,NOMINAL (<60%)
L6,61.55373323091081,155.63060354257473,39.55117555916437,NOMINAL (<60%)
L0,79.16855842188887,208.19047188441064,38.0269844749879,NOMINAL (<60%)
L1,79.16855842188887,208.19047188441064,38.0269844749879,NOMINAL (<60%)
L61,29.43218130014647,77.66383787383356,37.896892692786615,NOMINAL (<60%)
L44,18.677507738451293,49.45020017423455,37.77033798173175,NOMINAL (<60%)
L23,18.436384363974188,49.45020017423455,37.28272949151832,NOMINAL (<60%)
L41,15.840924769379694,44.00135440428479,36.000993569045974,NOMINAL (<60%)
L14,36.65319025184859,105.903924980604,34.60985063448925,NOMINAL (<60%)
L12,36.65319025184859,105.903924980604,34.60985063448925,NOMINAL (<60%)
L13,36.65319025184859,105.903924980604,34.60985063448925,NOMINAL (<60%)
L64,64.9641361401465,211.807849961208,30.671259895251517,NOMINAL (<60%)
L63,64.9641361401465,211.807849961208,30.671259895251517,NOMINAL (<60%)
L11,30.33683579094432,105.903924980604,28.645619882832882,NOMINAL (<60%)
L24,14.05341211453691,49.45020017423455,28.41932300581318,NOMINAL (<60%)
L40,26.451438053552508,100.84380643864817,26.23010672414984,NOMINAL (<60%)
L45,12.882454241058802,49.45020017423455,26.051369247583054,NOMINAL (<60%)
L71,12.794867163748732,49.45020017423455,25.874247462430592,NOMINAL (<60%)
L3,66.6940861878422,265.59340051159484,25.111349174856695,NOMINAL (<60%)
L4,66.6940861878422,265.59340051159484,25.111349174856695,NOMINAL (<60%)
L42,12.019109687588871,49.45020017423455,24.305482374672543,NOMINAL (<60%)
L15,9.164731342559865,37.870677151963584,24.200072541044268,NOMINAL (<60%)
L16,9.164731342559865,37.870677151963584,24.200072541044268,NOMINAL (<60%)
L2,22.449715637310824,100.84380643864817,22.261868557062932,NOMINAL (<60%)
L65,52.514735725902234,265.59340051159484,19.772605653885453,NOMINAL (<60%)
L66,52.514735725902234,265.59340051159484,19.772605653885453,NOMINAL (<60%)
L55,29.081392765831467,155.63060354257473,18.686165897876172,NOMINAL (<60%)
L75,18.66197351533706,101.75198445368959,18.3406482099921,NOMINAL (<60%)
L74,18.66197351533706,101.75198445368959,18.3406482099921,NOMINAL (<60%)
L62,8.565488714149456,49.45020017423455,17.321443965786823,NOMINAL (<60%)
L56,46.32323675623424,267.61690094096343,17.309533364058048,NOMINAL (<60%)
L47,6.552139432668407,49.45020017423455,13.249975550316018,NOMINAL (<60%)
L76,24.98092117427411,267.61690094096343,9.334582788470794,NOMINAL (<60%)
L43,6.634926889173118,77.66383787383356,8.543135480829172,NOMINAL (<60%)
L33,3.9578065149689263,49.45020017423455,8.003620816546452,NOMINAL (<60%)
L52,3.404518151713009,50.421903219324086,6.752061969783471,NOMINAL (<60%)
L37,6.035115842797133,101.75198445368959,5.931202104017831,NOMINAL (<60%)
L60,4.291164992713804,77.66383787383356,5.525306384787327,NOMINAL (<60%)
L59,4.291164992713804,77.66383787383356,5.525306384787327,NOMINAL (<60%)
L57,0.4772254814924395,77.66383787383356,0.6144757902226023,NOMINAL (<60%)
L58,0.4772254814924395,77.66383787383356,0.6144757902226023,NOMINAL (<60%)
